,instance,path_weight,time
0,rat99.tsp,1693,0.010118411999883392
1,kroB200.tsp,40703,0.04548102700027812
2,kroC100.tsp,27968,0.011567381999611825
3,kroA100.tsp,27210,0.011406058999909874
4,pr124.tsp,74139,0.017644639000081952
5,st70.tsp,888,0.005129270999987057
6,kroA200.tsp,40028,0.045150967999688874
7,pr152.tsp,87995,0.02439713399962784
8,kroB100.tsp,25885,0.010753061999821512
9,pr76.tsp,145336,0.0064168420003625215
10,lin105.tsp,19495,0.012258370000381547
11,kroA150.tsp,35119,0.02548999400005414
12,pr136.tsp,151904,0.020594323000295844
13,pr144.tsp,80599,0.022128223999970942
14,berlin52.tsp,10114,0.003246359999593551
15,kroB150.tsp,36150,0.050870375000158674
16,kroD100.tsp,27112,0.01079598900014389
17,rat195.tsp,3234,0.04021515800013731
18,kroE100.tsp,29965,0.011272912000094948
19,pr107.tsp,54237,0.01274119800018525
