,algorithm,instance,path_weight,time
0,2-OPT,kroD100.tsp,22922,5.05002390127629e-08
1,2-OPT,lin105.tsp,15780,5.4199972510105e-08
2,2-OPT,att48.tsp,10933,4.9099980969913304e-08
3,2-OPT,kroB150.tsp,28553,5.319989213603549e-08
4,2-OPT,berlin52.tsp,8352,7.44997123547364e-08
5,2-OPT,kroA200.tsp,32336,6.479995136032813e-08
6,2-OPT,rat195.tsp,2547,6.584996299352497e-08
7,2-OPT,pr152.tsp,77591,6.045020199962891e-08
8,2-OPT,st70.tsp,720,5.139991117175669e-08
9,2-OPT,pr144.tsp,61507,5.969977792119608e-08
10,2-OPT,pr124.tsp,60981,5.745005182689056e-08
11,2-OPT,pr136.tsp,103206,5.340007191989571e-08
12,2-OPT,kroB200.tsp,33576,6.839991328888573e-08
13,2-OPT,kroB100.tsp,24324,4.945022737956606e-08
14,2-OPT,kroA150.tsp,30500,5.8700243243947624e-08
15,2-OPT,kroA100.tsp,23675,4.8300080379704013e-08
16,2-OPT,pr107.tsp,45099,4.9450045480625705e-08
17,2-OPT,kroE100.tsp,24408,4.914982127957046e-08
18,2-OPT,rat99.tsp,1292,5.8000205171993004e-08
19,2-OPT,kroC100.tsp,22256,5.354995664674789e-08
20,2-OPT,pr76.tsp,125277,9.235009201802313e-08
